id,owner,created,Utility,nParams,downloads,totalDownloads
pankajmathur/orca_mini_3b,pankajmathur,2023-06-23,0.3073031521598132,3426474900,6083,267863
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.1,MaziyarPanahi,2024-05-09,0.506161629264496,3821079552,88,539
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.3,MaziyarPanahi,2024-05-10,0.4998054222337528,3821079552,134,1542
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.2,MaziyarPanahi,2024-05-10,0.5000648592554158,3821079552,31,455
jpacifico/Chocolatine-3B-Instruct-DPO-Revised,jpacifico,2024-07-17,0.506421066286159,3821079552,758,1122
jpacifico/Chocolatine-3B-Instruct-DPO-v1.0,jpacifico,2024-07-11,0.5036969775586976,3821079552,84,363
Ba2han/Llama-Phi-3_DoRA,Ba2han,2024-05-16,0.5005837332987417,3821079552,113,2528
microsoft/Phi-3-mini-128k-instruct,microsoft,2024-04-22,0.5176218894268664,3821079552,254763,3334691
microsoft/Phi-3-mini-4k-instruct,microsoft,2024-04-22,0.5023997924503827,3821079552,2797075,8490306
Qwen/Qwen1.5-4B-Chat,Qwen,2024-01-30,0.38734376759373945,3950369280,19156,113187
Qwen/Qwen1.5-4B,Qwen,2024-01-22,0.39432496340502193,3950369280,10438,144920
h2oai/h2o-danube3-4b-chat,h2oai,2024-07-04,0.33324685432611234,3961839360,9427,16679
mlabonne/phixtral-2x2_8,mlabonne,2024-01-07,0.45895732462560523,4457978880,528,9095
OpenBuddy/openbuddy-zero-3b-v21.2-32k,OpenBuddy,2024-06-02,0.36619535607731224,4769189888,48,746
pszemraj/Mistral-v0.3-6B,pszemraj,2024-05-25,0.36035802308989495,5939351552,20,337
01-ai/Yi-6B,01-ai,2023-11-01,0.4180835491498705,6061035520,12689,153177
01-ai/Yi-1.5-6B-Chat,01-ai,2024-05-11,0.45073752955748225,6061035520,4819,26255
01-ai/Yi-6B-Chat,01-ai,2023-11-22,0.4069361558383065,6061035520,6122,94108
01-ai/Yi-1.5-6B,01-ai,2024-05-11,0.4451075329354802,6061035520,536,25128
01-ai/Yi-6B-200K,01-ai,2023-11-06,0.42315054610967234,6061037568,5060,65854
hon9kon9ize/CantoneseLLMChat-v0.5,hon9kon9ize,2024-07-01,0.4106888052925152,6068899840,613,995
pszemraj/Llama-3-6.3b-v0.1,pszemraj,2024-05-17,0.3944739914385783,6285365248,423,510
OliveiraJLT/Sagui-7B-Instruct-v0.1,OliveiraJLT,2024-07-17,0.30834090024646515,6738415616,15,49
ibm-granite/granite-7b-base,ibm-granite,2024-04-19,0.3517621889426866,6738415616,8193,18980
NousResearch/Nous-Hermes-llama-2-7b,NousResearch,2023-07-25,0.391622565026461,6738415616,8117,294871
meta-llama/Llama-2-7b-chat-hf,meta-llama,2023-07-13,0.3253012048192771,6738417664,646718,12816148
meta-llama/Llama-2-7b-hf,meta-llama,2023-07-13,0.3624591825244905,6738417664,1093418,11310809
skymizer/Llama2-7b-sft-chat-custom-template-dpo,skymizer,2024-06-11,0.3543909715916461,6738432000,16,77
allenai/OLMo-7B-hf,allenai,2024-04-13,0.3191075366454793,6888095744,6145,19600
AI-MO/NuminaMath-7B-TIR,AI-MO,2024-07-04,0.3827993254637437,6910365696,1904,4586
Deci/DeciLM-7B,Deci,2023-12-10,0.4393649363810382,7043551232,4261,79084
Deci/DeciLM-7B-instruct,Deci,2023-12-10,0.4457831325301205,7043551232,3843,309750
bigscience/bloom-7b1,bigscience,2022-05-19,0.3185452088728747,7069016064,205337,3167880
bigcode/starcoder2-7b,bigcode,2024-02-20,0.3510865893480464,7173923840,26243,107158
uukuguy/speechless-zephyr-code-functionary-7b,uukuguy,2024-01-23,0.4358541963938254,7241732096,5148,20271
dreamgen/WizardLM-2-7B,dreamgen,2024-04-16,0.3401219354001816,7241732096,1073,65681
mistralai/Mistral-7B-Instruct-v0.1,mistralai,2023-09-27,0.3774349735390159,7241732096,617830,5307540
mistralai/Mistral-7B-v0.1,mistralai,2023-09-20,0.441729534962279,7241732096,631820,10585373
mistralai/Mistral-7B-Instruct-v0.2,mistralai,2023-12-11,0.4425177344893593,7241732096,1324632,11203914
