id,owner,created,Utility,nParams,downloads,totalDownloads
google-t5/t5-11b,google-t5,2022-03-03,32.1,11000000000.0,1648300,6450160
google-t5/t5-3b,google-t5,2022-03-03,31.8,2851599360,708100,7056360
google-t5/t5-large,google-t5,2022-03-03,32.0,737668608,1028285,22754345
google-t5/t5-small,google-t5,2022-03-03,26.7,60506880,5685735,134844730
google-t5/t5-base,google-t5,2022-03-03,30.9,222903936,3670686,127809330
