id,owner,created,Utility,nParams,downloads,totalDownloads
timm/vit_large_patch14_clip_224.openai_ft_in1k,timm,2022-11-02,0.8786,304200000.0,510,19131
timm/maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,timm,2023-01-20,0.87812,116140000.0,527,40843
timm/convnext_xlarge.fb_in22k_ft_in1k_384,timm,2022-12-13,0.8776600000000001,350200000.0,831,255262
timm/deit3_large_patch16_384.fb_in22k_ft_in1k,timm,2023-03-28,0.8773399999999999,304760000.0,515,14132
timm/convnextv2_base.fcmae_ft_in22k_in1k_384,timm,2023-01-05,0.87638,88720000.0,34052,148130
timm/vit_huge_patch14_clip_224.laion2b_ft_in1k,timm,2022-11-02,0.8762399999999999,632050000.0,321,14839
timm/convformer_b36.sail_in22k_ft_in1k_384,timm,2023-05-05,0.87602,99880000.0,74,5498
timm/convnextv2_large.fcmae_ft_in22k_in1k,timm,2023-01-05,0.87494,197960000.0,50710,172239
timm/beit_large_patch16_224.in22k_ft_in22k_in1k,timm,2022-12-23,0.87488,304430000.0,713,18737
timm/maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,timm,2023-01-20,0.8747799999999999,116090000.0,521,24807
timm/swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,timm,2023-03-18,0.8747400000000001,196740000.0,1286,71016
timm/caformer_m36.sail_in22k_ft_in1k_384,timm,2023-05-05,0.8747199999999999,56200000.0,576,10580
timm/convnext_large.fb_in22k_ft_in1k_384,timm,2022-12-13,0.87456,197770000.0,750,26408
timm/caformer_b36.sail_in22k_ft_in1k,timm,2023-05-05,0.8744,98750000.0,8347,89339
timm/vit_mediumd_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,timm,2024-08-21,0.87436,64269999.99999999,1905,51438
timm/beitv2_large_patch16_224.in1k_ft_in1k,timm,2023-05-09,0.87414,304430000.0,243,5735
timm/coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,timm,2023-01-20,0.87402,73880000.0,981,23469
timm/convnext_xlarge.fb_in22k_ft_in1k,timm,2022-12-13,0.87374,350200000.0,5410,48359
timm/convnext_large_mlp.clip_laion2b_augreg_ft_in1k,timm,2023-02-03,0.87336,200130000.0,23037,37417
timm/seresnextaa201d_32x8d.sw_in12k_ft_in1k_384,timm,2023-07-26,0.8730800000000001,149390000.0,355,8679
timm/vit_large_patch14_clip_224.laion2b_ft_in1k,timm,2022-11-02,0.87298,304200000.0,262,14630
timm/convnextv2_large.fcmae_ft_in22k_in1k,timm,2023-01-05,0.87264,197960000.0,50710,172239
timm/vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,timm,2022-11-11,0.87212,86860000.0,2027,148452
timm/deit3_huge_patch14_224.fb_in22k_ft_in1k,timm,2023-03-28,0.8718,632130000.0,289,9048
timm/convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,timm,2023-03-31,0.8715,88590000.0,698,27219
timm/swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,timm,2023-03-18,0.8714,87920000.0,3046,115647
timm/swin_large_patch4_window12_384.ms_in22k_ft_in1k,timm,2023-03-18,0.87138,196740000.0,4798,50600
timm/vit_large_patch16_384.augreg_in21k_ft_in1k,timm,2022-12-22,0.8709399999999999,304720000.0,14903,1233715
timm/volo_d5_512.sail_in1k,timm,2023-04-13,0.87066,296090000.0,385,9105
timm/vit_base_patch16_clip_384.openai_ft_in12k_in1k,timm,2022-12-01,0.87028,86860000.0,246,10654
timm/convnext_large.fb_in22k_ft_in1k,timm,2022-12-13,0.8701399999999999,197770000.0,6803,70902
timm/convnextv2_base.fcmae_ft_in22k_in1k,timm,2023-01-05,0.8699800000000001,88720000.0,25060,307637
timm/deit3_large_patch16_224.fb_in22k_ft_in1k,timm,2023-03-28,0.8698600000000001,304370000.0,266,25225
timm/convformer_b36.sail_in22k_ft_in1k,timm,2023-05-05,0.86984,99880000.0,389,9197
timm/volo_d5_448.sail_in1k,timm,2023-04-13,0.86978,295910000.0,253,7942
